#--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
3,9,8,9
4,8,10,11
0,11,9,9,100,11,9,9,10

0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
3,8,10,11,11
4,11,9,8,8
5,11,9,9,9
6,8,9,11,10
7,8,11,9,10
0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
3,8,10,11,11
4,11,9,8,8
5,11,9,9,9
6,8,9,11,10
7,8,11,9,10
8,8,11,10,9
9,11,9,11,9
10,11,8,9,8
11,9,9,8,11
12,10,9,9,9
13,8,8,8,10
14,8,8,10,11
15,10,10,9,8
0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
3,8,10,11,11
4,11,9,8,8
5,11,9,9,9
6,8,9,11,10
7,8,11,9,10
8,8,11,10,9
9,11,9,11,9
10,11,8,9,8
11,9,9,8,11
12,10,9,9,9
13,8,8,8,10
14,8,8,10,11
15,10,10,9,8
16,9,9,9,8
17,8,9,10,9
18,11,9,9,10
19,11,8,9,9
20,11,10,9,9
21,9,11,9,8
22,11,10,8,11
23,9,10,8,10
24,8,9,10,8
25,9,9,11,8
26,9,10,9,9
27,10,8,9,11
28,9,11,11,10
29,10,11,8,8
30,8,9,10,8
31,11,8,9,10
32,10,10,10,9
33,10,8,11,9
34,11,8,11,9
35,10,11,10,9
36,8,10,8,11
0,11,9,9,10
0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
3,8,10,11,11
4,11,9,8,8
5,11,9,9,9
6,8,9,11,10
7,8,11,9,10
8,8,11,10,9
9,11,9,11,9
0,11,9,9,10
1,10,8,8,10
0,11,9,9,10
1,10,8,8,10
0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
3,8,10,11,11
0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
0,11,9,9,10
1,10,8,8,10
0,11,9,9,10
0,11,9,9,10
1,10,8,8,10
0,11,9,9,10
1,10,8,8,10
0,11,9,9,10
1,10,8,8,10
0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
3,8,10,11,11
0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
3,8,10,11,11
0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
0,11,9,9,10
0,11,9,9,10
1,10,8,8,10
0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
3,8,10,11,11
0,11,9,9,10
0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
3,8,10,11,11
0,11,9,9,10
1,10,8,8,10
0,11,9,9,10
0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
0,11,9,9,10
1,10,8,8,10
2,11,9,8,9
3,8,10,11,11
