--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
3,9,8,9
4,8,10,11
5,11,11,9
6,8,8,11
7,9,9,9
8,8,9,11
9,10,8,11
10,9,10,8
11,11,10,9
12,11,9,11
13,9,11,8
14,9,8,9
15,9,8,11
16,10,9,9
17,9,8,8
18,8,10,8
--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
3,9,8,9
4,8,10,11
5,11,11,9
6,8,8,11
7,9,9,9
8,8,9,11
9,10,8,11
10,9,10,8
11,11,10,9
12,11,9,11
13,9,11,8
14,9,8,9
15,9,8,11
16,10,9,9
17,9,8,8
18,8,10,8
19,8,10,11
20,10,10,9
21,8,9,9
22,9,8,8
23,9,10,9
24,11,9,9
25,10,11,8
26,9,9,11
27,10,9,9
28,9,11,9
29,8,11,10
30,8,11,9
--ITERASI BARU--
0,11,9,9
1,10,10,8
--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
3,9,8,9
4,8,10,11
5,11,11,9
6,8,8,11
7,9,9,9
8,8,9,11
9,10,8,11
10,9,10,8
11,11,10,9
12,11,9,11
--ITERASI BARU--
0,11,9,9
1,10,10,8
--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
3,9,8,9
4,8,10,11
5,11,11,9
6,8,8,11
7,9,9,9
8,8,9,11
9,10,8,11
10,9,10,8
11,11,10,9
12,11,9,11
13,9,11,8
14,9,8,9
15,9,8,11
16,10,9,9
17,9,8,8
18,8,10,8
19,8,10,11
20,10,10,9
21,8,9,9
--ITERASI BARU--
0,11,9,9
1,10,10,8
--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
3,9,8,9
4,8,10,11
5,11,11,9
6,8,8,11
7,9,9,9
8,8,9,11
9,10,8,11
10,9,10,8
11,11,10,9
12,11,9,11
13,9,11,8
14,9,8,9
15,9,8,11
16,10,9,9
17,9,8,8
18,8,10,8
19,8,10,11
20,10,10,9
21,8,9,9
22,9,8,8
23,9,10,9
24,11,9,9
25,10,11,8
26,9,9,11
27,10,9,9
28,9,11,9
29,8,11,10
30,8,11,9
31,10,8,10
32,8,9,10
--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
3,9,8,9
4,8,10,11
5,11,11,9
6,8,8,11
7,9,9,9
8,8,9,11
9,10,8,11
10,9,10,8
11,11,10,9
12,11,9,11
13,9,11,8
14,9,8,9
15,9,8,11
16,10,9,9
17,9,8,8
18,8,10,8
19,8,10,11
20,10,10,9
21,8,9,9
22,9,8,8
23,9,10,9
24,11,9,9
25,10,11,8
26,9,9,11
27,10,9,9
28,9,11,9
29,8,11,10
30,8,11,9
31,10,8,10
32,8,9,10
33,8,9,9
34,11,8,9
35,10,9,9
36,10,8,9
37,11,9,11
38,11,10,10
39,11,8,8
40,8,9,10
41,8,11,8
42,9,10,10
43,10,10,9
44,10,8,11
45,9,11,8
46,11,9,10
47,11,10,9
48,8,10,8
49,11,11,10
50,8,10,11
51,11,10,11
52,9,8,9
53,10,11,10
--ITERASI BARU--
0,11,9,9
--ITERASI BARU--
0,11,9,9
1,10,10,8
2,8,10,11
3,9,8,9
4,8,10,11
5,11,11,9
6,8,8,11
7,9,9,9
8,8,9,11
9,10,8,11
10,9,10,8
11,11,10,9
12,11,9,11
13,9,11,8
14,9,8,9
15,9,8,11
16,10,9,9
17,9,8,8
18,8,10,8
19,8,10,11
20,10,10,9
21,8,9,9
22,9,8,8
23,9,10,9
24,11,9,9
25,10,11,8
26,9,9,11
27,10,9,9
28,9,11,9
29,8,11,10
30,8,11,9
31,10,8,10
32,8,9,10
33,8,9,9
34,11,8,9
35,10,9,9
